bebida,borda,ingrediente 1,ingrediente 2,ingrediente 3,ingrediente 4,ingrediente 5,massa,queijo 1,queijo 2
vinho tinto,borda tradicional,tomate,pepperoni,cebola,NA,NA,massa tradicional,mussarela,parmesão
suco de abacaxi,cream cheese,rúcula,tomate,azeitona,cebola,carne moída,massa integral,mussarela,queijo coalho
suco de maracujá,cheddar,milho,cebola,bacon,pepperoni,orégano,massa final,cheddar,provolone
suco de abacaxi,cheddar,bacon,ovo,cebola,NA,NA,massa integral,mussarela,catupiry
refrigerante,borda tradicional,calabresa,presunto,queijo cheddar,cebola,azeitona,massa tradicional,mussarela,cheddar
água com gás,sabor catupiry,presunto,tomate,azeitona,bacon,anchova,massa grossa,mussarela,catupiry
água com gás,cheddar,cogumelos,picles,pepperoni,bacon,abacaxi,massa tradicional,mussarela,queijo coalho
refrigerante,sabor catupiry,pepperoni,calabresa,NA,NA,NA,massa grossa,mussarela,queijo coalho
refrigerante,borda tradicional,calabresa,cebola,NA,NA,NA,massa tradicional,mussarela,NA
suco de laranja,sabor catupiry,cebola,frango,alho,orégano,milho,massa tradicional,mussarela,catupiry
chá gelado,borda tradicional,pepperoni,tomate,azeitona,azeite de oliva,orégano,massa final,mussarela,parmesão
vinho tinto,borda tradicional,azeite de oliva,pepperoni,orégano,pimenta calabresa,azeitona,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,bacon,calabresa,pepperoni,frango,cebola caramelizada,massa tradicional,parmesão,mussarela
limonada,cream cheese,cebola,alho,bacon,queijo coalho grelhado,linguiça calabresa defumada,massa final,parmesão,queijo coalho
vinho tinto,borda tradicional,cebola,tomate,palmito,azeitona,queijo roquefort,massa tradicional,gorgonzola,gorgonzola
refrigerante,cheddar,bacon,frango,tomate,cebola,carne seca,massa final,mussarela,catupiry
suco de maracujá,sabor catupiry,pepperoni,pimentão,rúcula,bacon,queijo de cabra,massa tradicional,mussarela,provolone
limonada,cheddar,cereja,berinjela,pepperoni,queijo cheddar,camarão,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,tomate,calabresa,cebola,pimenta calabresa,alho,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,pepperoni,cebola,pimentão,brócolis,NA,massa tradicional,mussarela,gorgonzola
refrigerante,cheddar,bacon,milho,azeitona,ovo,NA,massa tradicional,mussarela,NA
refrigerante,sabor catupiry,frango,bacon,NA,NA,NA,massa tradicional,mussarela,catupiry
refrigerante,sabor catupiry,calabresa,cebola,milho,brócolis,azeite de oliva,massa grossa,mussarela,parmesão
suco de maracujá,borda tradicional,cebola,rúcula,tomate seco,NA,NA,massa final,mussarela,parmesão
suco de laranja,borda tradicional,tomate,presunto,azeitona,cebola,calabresa,massa tradicional,mussarela,provolone
suco de uva,borda tradicional,tomate,bacon,calabresa,azeitona,NA,massa tradicional,mussarela,provolone
água com gás,borda tradicional,tomate,calabresa,cebola,NA,NA,massa tradicional,mussarela,NA
suco de maracujá,cream cheese,tomate,pimentão,alho,bacon,carne seca,massa grossa,mussarela,parmesão
cerveja,sabor catupiry,azeitona,alho,palmito,orégano,pimentão assado,massa tradicional,mussarela,provolone
refrigerante,borda tradicional,frango,linguiça calabresa defumada,cebola,tomate,azeitona,massa tradicional,mussarela,catupiry
vinho tinto,sabor catupiry,carne seca,pimentão assado,tomate,tomate seco,NA,massa tradicional,mussarela,parmesão
cerveja,sabor catupiry,tomate,bacon,frango,orégano,milho,massa tradicional,mussarela,provolone
refrigerante,borda tradicional,frango,milho,tomate,orégano,NA,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,alho,cebola,NA,carne seca,NA,massa final,mussarela,gorgonzola
vinho tinto,borda tradicional,cogumelos,alho-poró,queijo feta,NA,NA,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,tomate,alho,abobrinha,berinjela,azeite de oliva,massa final,mussarela,parmesão
refrigerante,sabor catupiry,rúcula,queijo gouda,pimenta calabresa,cebola caramelizada,mel,massa tradicional,queijo brie,mussarela
refrigerante,borda tradicional,calabresa,tomate,cebola,azeitona,NA,massa tradicional,mussarela,NA
vinho tinto,sabor catupiry,pepperoni,NA,tomate seco,cogumelos,NA,massa final,mussarela,parmesão
refrigerante,sabor catupiry,bacon,alho,cogumelos,tomate,queijo de cabra,massa grossa,gorgonzola,queijo brie
refrigerante,borda tradicional,tomate seco,cebola caramelizada,pepperoni,orégano,bacon,massa final,gorgonzola,parmesão
suco de abacaxi,cream cheese,frango,bacon,milho,queijo cheddar,azeitona,massa tradicional,provolone,mussarela
refrigerante,sabor catupiry,pepperoni,alho-poró,cebolinha,orégano,pepperoni,massa tradicional,mussarela,catupiry
suco de abacaxi,sabor catupiry,calabresa,tomate,azeitona,palmito,cebola,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,cogumelos,tomate,carne seca,NA,NA,massa tradicional,mussarela,NA
refrigerante,sabor catupiry,calabresa,bacon,cebola,NA,NA,massa tradicional,mussarela,NA
refrigerante,borda tradicional,alho,milho,presunto,palmito,ervilha,massa tradicional,gorgonzola,mussarela
cerveja,borda tradicional,pepperoni,alho,alcaparra,cebola,tomate,massa tradicional,mussarela,gorgonzola
água com gás,borda tradicional,calabresa,tomate seco,azeite de oliva,rúcula,cogumelos,massa tradicional,provolone,gorgonzola
água com gás,borda tradicional,frango,ovo,azeitona,tomate,milho,massa tradicional,NA,NA
vinho tinto,borda tradicional,calabresa,NA,NA,NA,NA,massa final,mussarela,NA
suco de abacaxi,sabor catupiry,bacon,presunto,orégano,NA,NA,massa tradicional,mussarela,catupiry
refrigerante,sabor catupiry,pepperoni,cogumelos,orégano,cebola,tomate seco,massa tradicional,mussarela,queijo coalho
refrigerante,sabor catupiry,pepperoni,calabresa,azeitona,camarão,ovo,massa final,mussarela,catupiry
cerveja,sabor catupiry,azeitona,cogumelos,tomate,azeite de oliva,palmito,massa final,mussarela,parmesão
vinho tinto,borda tradicional,orégano,bacon,pepperoni,NA,NA,massa tradicional,provolone,gorgonzola
suco de maracujá,borda tradicional,tomate,bacon,alho,tomate seco,linguiça calabresa defumada,massa tradicional,catupiry,gorgonzola
refrigerante,sabor catupiry,pepperoni,tomate seco,linguiça calabresa defumada,pimentão,cebola,massa grossa,mussarela,gorgonzola
refrigerante,sabor catupiry,presunto,cebola,tomate,milho,calabresa,massa tradicional,mussarela,cheddar
refrigerante,sabor catupiry,pepperoni,azeitona,alho,calabresa,pimenta calabresa,massa tradicional,mussarela,catupiry
limonada,borda tradicional,presunto,frango,palmito,abacaxi,presunto,massa grossa,catupiry,catupiry
refrigerante,sabor catupiry,tomate,abobrinha,pepperoni,orégano,frango,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,alcaparra,atum,cebola,tomate,ervilha,massa final,mussarela,provolone
refrigerante,sabor catupiry,presunto,abobrinha,linguiça,ovo,alho,massa tradicional,mussarela,catupiry
cerveja,sabor catupiry,bacon,cebola,frango,orégano,tomate,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,calabresa,orégano,azeitona,bacon,tomate,massa tradicional,mussarela,ricota
vinho tinto,borda tradicional,mel,cogumelos,cebola,NA,NA,massa tradicional,mussarela,gorgonzola
refrigerante,cream cheese,frango,milho,bacon,presunto,calabresa,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,carne seca,cebola,azeite de oliva,pimenta calabresa,tomate seco,massa tradicional,mussarela,gorgonzola
refrigerante,borda tradicional,pepperoni,azeitona,pimentão,cebola,tomate,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,tomate,azeitona,frango,milho,pepperoni,massa final,mussarela,provolone
chá gelado,cream cheese,cebola caramelizada,tomate seco,azeitona,rúcula,alho,massa grossa,ricota,queijo coalho
água com gás,sabor catupiry,tomate,frango,milho,bacon,orégano,massa tradicional,mussarela,catupiry
refrigerante,sabor catupiry,tomate,cebola,bacon,pepperoni,orégano,massa grossa,mussarela,NA
refrigerante,sabor catupiry,pepperoni,NA,NA,NA,NA,massa tradicional,provolone,mussarela
chá gelado,cream cheese,tomate,bacon,orégano,alho-poró,abobrinha,massa tradicional,mussarela,NA
cerveja,borda tradicional,cogumelos,pepperoni,cebola,rúcula,salsinha,massa tradicional,parmesão,mussarela
refrigerante,borda tradicional,azeite de oliva,frango,palmito,bacon,alho,massa tradicional,mussarela,NA
cerveja,cheddar,cebola,azeitona,atum,picles,ovo,massa tradicional,mussarela,gorgonzola
suco de abacaxi,borda tradicional,cebola,calabresa,tomate,orégano,salsinha,massa final,mussarela,NA
água com gás,sabor catupiry,tomate,pepperoni,bacon,queijo gouda,pimentão,massa tradicional,mussarela,provolone
água com gás,borda tradicional,abobrinha,alho,NA,NA,NA,massa final,mussarela,parmesão
vinho tinto,borda tradicional,presunto,cogumelos,tomate,pimentão,alho-poró,massa tradicional,mussarela,catupiry
suco de laranja,borda tradicional,cogumelos,bacon,calabresa,palmito,presunto,massa final,mussarela,catupiry
refrigerante,borda tradicional,tomate seco,alho,espinafre,NA,pepperoni,massa grossa,mussarela,parmesão
refrigerante,cheddar,pepperoni,calabresa,bacon,frango,alho,massa grossa,mussarela,catupiry
refrigerante,sabor catupiry,tomate,calabresa,orégano,alho-poró,azeite de oliva,massa tradicional,mussarela,catupiry
água com gás,sabor catupiry,frango,milho,tomate,queijo cheddar,orégano,massa tradicional,catupiry,gorgonzola
suco de uva,sabor catupiry,tomate,milho,azeite de oliva,orégano,pimentão assado,massa grossa,parmesão,provolone
água com gás,borda tradicional,linguiça calabresa defumada,cebola caramelizada,pimenta biquinho,castanhas,NA,massa final,mussarela,parmesão
água com gás,borda tradicional,cogumelos,azeite de oliva,pepperoni,anchova,azeitona,massa final,mussarela,gorgonzola
refrigerante,sabor catupiry,calabresa,cebola,azeitona,bacon,alho-poró,massa grossa,mussarela,provolone
limonada,sabor catupiry,atum,cebola,tomate seco,azeitona,NA,massa tradicional,mussarela,NA
NA,sabor catupiry,presunto,tomate,azeitona,ovo,calabresa,massa grossa,mussarela,NA
suco de laranja,borda tradicional,cebola,azeitona,pimenta calabresa,bacon,linguiça,massa final,mussarela,parmesão
água com gás,borda tradicional,cebola,alho,bacon,queijo gouda,picles,massa grossa,mussarela,parmesão
água com gás,sabor catupiry,pepperoni,bacon,NA,NA,NA,massa final,mussarela,catupiry
refrigerante,borda tradicional,pepperoni,frango,tomate,azeitona,azeite de oliva,massa final,mussarela,catupiry
suco de maracujá,sabor catupiry,calabresa,frango,bacon,tomate,milho,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,presunto,milho,cebola caramelizada,orégano,picles,massa tradicional,parmesão,mussarela
refrigerante,borda tradicional,pepperoni,azeite de oliva,alcaparra,palmito,pepperoni,massa final,provolone,parmesão
suco de uva,borda tradicional,frango,bacon,brócolis,mel,linguiça calabresa defumada,massa final,queijo coalho,mussarela
cerveja,borda tradicional,pepperoni,cogumelos,tomate,NA,NA,massa tradicional,catupiry,mussarela
suco de laranja,sabor catupiry,frango,calabresa,carne seca,orégano,NA,massa tradicional,cheddar,catupiry
chá gelado,borda tradicional,tomate,cogumelos,rúcula,azeite de oliva,NA,massa final,mussarela,parmesão
vinho tinto,cream cheese,pepperoni,azeitona,alho,orégano,NA,massa final,parmesão,mussarela
refrigerante,sabor catupiry,tomate,calabresa,cebola,ovo,azeitona,massa tradicional,catupiry,mussarela
refrigerante,sabor catupiry,cebola,bacon,linguiça calabresa defumada,frango,cogumelos,massa tradicional,mussarela,catupiry
água com gás,borda tradicional,pepperoni,calabresa,tomate,cebola,azeite de oliva,massa final,mussarela,parmesão
refrigerante,borda tradicional,pepperoni,tomate,NA,azeitona,NA,massa final,mussarela,provolone
chá gelado,cheddar,pepperoni,carne seca,azeitona,calabresa,tomate,massa tradicional,mussarela,catupiry
cerveja,borda tradicional,calabresa,bacon,carne seca,alcaparra,linguiça,massa tradicional,mussarela,provolone
suco de maracujá,borda tradicional,anchova,alcaparra,tomate seco,salsinha,palmito,massa tradicional,gorgonzola,mussarela
suco de uva,sabor catupiry,tomate,bacon,orégano,NA,NA,massa tradicional,mussarela,parmesão
NA,borda tradicional,pimentão,tomate,pepperoni,tomate,NA,massa tradicional,catupiry,queijo coalho
refrigerante,borda tradicional,cebola,tomate,calabresa,alho-poró,cebola caramelizada,massa tradicional,mussarela,mussarela
cerveja,cream cheese,bacon,calabresa,carne seca,frango,camarão,massa final,cheddar,mussarela
vinho tinto,borda tradicional,milho,bacon,azeite de oliva,NA,NA,massa final,mussarela,queijo coalho
NA,cream cheese,abacaxi,tomate seco,cebola caramelizada,carne seca,NA,massa tradicional,queijo brie,gorgonzola
suco de abacaxi,cheddar,alcaparra,cogumelos,tomate,alho,azeitona,massa grossa,queijo coalho,queijo brie
cerveja,cream cheese,tomate,azeitona,bacon,linguiça calabresa defumada,azeite de oliva,massa final,mussarela,catupiry
limonada,sabor catupiry,tomate seco,uva passa,cebola caramelizada,carne seca,alho-poró,massa tradicional,mussarela,NA
cerveja,borda tradicional,cebola,pepperoni,alho,rúcula,azeitona,massa tradicional,gorgonzola,provolone
suco de laranja,borda tradicional,anchova,alcaparra,cebola,presunto,azeite de oliva,massa grossa,parmesão,cheddar
suco de laranja,borda tradicional,queijo coalho grelhado,carne seca,NA,NA,NA,massa grossa,cheddar,queijo coalho
suco de laranja,sabor catupiry,presunto,frango,brócolis,bacon,azeitona,massa tradicional,mussarela,catupiry
água com gás,borda tradicional,carne seca,tomate,pepperoni,azeitona,rúcula,massa final,mussarela,gorgonzola
refrigerante,sabor catupiry,tomate,berinjela,rúcula,frango,azeitona,massa final,provolone,gorgonzola
refrigerante,borda tradicional,pepperoni,NA,NA,NA,NA,massa tradicional,mussarela,parmesão
água com gás,cheddar,alho,mel,cebola caramelizada,pepperoni,uva passa,massa tradicional,gorgonzola,catupiry
refrigerante,sabor catupiry,alho,azeitona,NA,NA,NA,massa tradicional,mussarela,catupiry
suco de uva,sabor catupiry,tomate,presunto,ovo,NA,NA,massa tradicional,mussarela,queijo brie
refrigerante,cheddar,presunto,azeitona,ovo,tomate,azeite de oliva,massa tradicional,mussarela,provolone
cerveja,sabor catupiry,abobrinha,berinjela,alcaparra,berinjela,brócolis,massa grossa,ricota,ricota
refrigerante,borda tradicional,linguiça calabresa defumada,cebola,tomate,NA,NA,massa tradicional,mussarela,parmesão
vinho tinto,borda tradicional,cogumelos,rúcula,tomate seco,camarão,pepperoni,massa final,parmesão,gorgonzola
refrigerante,sabor catupiry,carne seca,bacon,tomate,cebola,azeitona,massa tradicional,mussarela,parmesão
limonada,cheddar,linguiça calabresa defumada,brócolis,alho,cebola,bacon,massa final,cheddar,mussarela
vinho tinto,borda tradicional,tomate,presunto,cogumelos,alho,calabresa,massa final,mussarela,parmesão
cerveja,borda tradicional,tomate,pepperoni,alho,NA,NA,massa tradicional,mussarela,parmesão
refrigerante,cream cheese,pepperoni,brócolis,azeitona,frango,bacon,massa tradicional,mussarela,gorgonzola
água com gás,sabor catupiry,cogumelos,cebola,palmito,calabresa,ovo,massa final,mussarela,queijo brie
água com gás,sabor catupiry,pepperoni,bacon,frango,ovo,carne seca,massa tradicional,parmesão,provolone
refrigerante,cream cheese,pepperoni,bacon,pimenta calabresa,NA,NA,massa final,gorgonzola,parmesão
refrigerante,borda tradicional,cebola,frango,milho,pimenta calabresa,tomate seco,massa final,mussarela,catupiry
suco de maracujá,sabor catupiry,frango,pepperoni,tomate,alho,palmito,massa tradicional,catupiry,provolone
cerveja,cheddar,presunto,calabresa,cebola,bacon,orégano,massa tradicional,mussarela,provolone
refrigerante,cheddar,bacon,queijo cheddar,ovo,azeite de oliva,frango,massa tradicional,mussarela,cheddar
refrigerante,sabor catupiry,presunto,milho,frango,calabresa,bacon,massa tradicional,mussarela,catupiry
limonada,borda tradicional,tomate,azeitona,brócolis,cogumelos,pimentão,massa tradicional,mussarela,provolone
cerveja,sabor catupiry,tomate,queijo de cabra,pimenta calabresa,azeite de oliva,azeitona,massa tradicional,parmesão,provolone
refrigerante,cream cheese,pepperoni,cebola,alho,bacon,azeitona,massa grossa,provolone,parmesão
água com gás,sabor catupiry,tomate,frango,bacon,salsinha,azeitona,massa tradicional,catupiry,mussarela
água com gás,borda tradicional,nozes,brócolis,alho,NA,NA,massa integral,gorgonzola,provolone
refrigerante,borda tradicional,tomate,pepperoni,calabresa,milho,palmito,massa tradicional,mussarela,provolone
NA,borda tradicional,nozes,mel,cebola caramelizada,castanhas,uva passa,massa tradicional,mussarela,gorgonzola
vinho tinto,sabor catupiry,linguiça calabresa defumada,bacon,frango,azeitona,presunto,massa tradicional,cheddar,catupiry
limonada,sabor catupiry,azeite de oliva,pepperoni,cebola,presunto,berinjela,massa final,provolone,mussarela
chá gelado,sabor catupiry,palmito,presunto,cogumelos,brócolis,alho,massa grossa,mussarela,parmesão
refrigerante,borda tradicional,frango,queijo coalho grelhado,NA,NA,NA,massa final,mussarela,parmesão
cerveja,cream cheese,calabresa,cebola,orégano,azeitona,azeite de oliva,massa final,mussarela,queijo brie
suco de laranja,borda tradicional,abobrinha,tomate,pimentão,cebola,cogumelos,massa final,mussarela,queijo coalho
refrigerante,borda tradicional,frango,azeitona,tomate,azeite de oliva,queijo cheddar,massa tradicional,mussarela,catupiry
vinho tinto,borda tradicional,cogumelos,calabresa,palmito,cebola,tomate seco,massa tradicional,mussarela,gorgonzola
refrigerante,sabor catupiry,frango,bacon,cebola,milho,alho,massa tradicional,mussarela,cheddar
cerveja,sabor catupiry,pepperoni,tomate,azeitona,cebola,palmito,massa final,mussarela,queijo coalho
limonada,borda tradicional,presunto,ovo,orégano,NA,NA,massa final,mussarela,NA
refrigerante,cream cheese,tomate,queijo coalho grelhado,pepperoni,orégano,azeite de oliva,massa final,mussarela,parmesão
refrigerante,sabor catupiry,presunto,palmito,pepperoni,cebola,calabresa,massa tradicional,mussarela,parmesão
água com gás,cream cheese,bacon,milho,tomate,azeite de oliva,tomate seco,massa final,mussarela,gorgonzola
suco de abacaxi,sabor catupiry,pepperoni,tomate,azeitona,orégano,NA,massa tradicional,mussarela,parmesão
refrigerante,sabor catupiry,pepperoni,calabresa,bacon,NA,NA,massa tradicional,mussarela,gorgonzola
refrigerante,borda tradicional,cebola,alho,bacon,azeite de oliva,cogumelos,massa tradicional,mussarela,gorgonzola
suco de abacaxi,sabor catupiry,palmito,bacon,carne seca,cebola,salsinha,massa tradicional,parmesão,queijo coalho
NA,borda tradicional,azeite de oliva,cebola caramelizada,cogumelos,alho,queijo gouda,massa final,gorgonzola,queijo brie
cerveja,borda tradicional,bacon,brócolis,palmito,NA,NA,massa tradicional,mussarela,parmesão
cerveja,cheddar,pepperoni,azeite de oliva,orégano,queijo gouda,NA,massa tradicional,mussarela,provolone
vinho tinto,sabor catupiry,cebola,tomate,calabresa,linguiça calabresa defumada,pepperoni,massa grossa,mussarela,gorgonzola
suco de maracujá,borda tradicional,frango,bacon,brócolis,NA,NA,massa final,mussarela,parmesão
refrigerante,sabor catupiry,atum,cebola,tomate,azeitona,NA,massa tradicional,mussarela,NA
suco de maracujá,sabor catupiry,presunto,abacaxi,pimentão,cogumelos,calabresa,massa tradicional,mussarela,cheddar
suco de maracujá,cream cheese,cebola,frango,carne seca,bacon,calabresa,massa tradicional,catupiry,mussarela
refrigerante,sabor catupiry,pepperoni,rúcula,picles,azeite de oliva,bacon,massa tradicional,mussarela,parmesão
refrigerante,cream cheese,pepperoni,bacon,presunto,cebola,pimenta calabresa,massa tradicional,mussarela,queijo brie
cerveja,cream cheese,alcaparra,rúcula,cebola,cogumelos,bacon,massa integral,queijo brie,queijo feta
limonada,sabor catupiry,carne seca,linguiça calabresa defumada,cebola,azeitona,pimentão assado,massa tradicional,parmesão,queijo coalho
refrigerante,sabor catupiry,cebola,calabresa,bacon,NA,NA,massa tradicional,mussarela,NA
suco de laranja,cream cheese,frango,pepperoni,queijo cheddar,queijo coalho grelhado,calabresa,massa grossa,mussarela,cheddar
refrigerante,borda tradicional,anchova em conserva,alcaparra,carne seca,alho,picles,massa tradicional,mussarela,NA
chá gelado,borda tradicional,cogumelos,alho,alho-poró,queijo coalho grelhado,tomate seco,massa final,mussarela,catupiry
chá gelado,sabor catupiry,alho,brócolis,calabresa,alho-poró,cogumelos,massa tradicional,provolone,queijo brie
refrigerante,sabor catupiry,frango,bacon,milho,presunto,NA,massa final,mussarela,queijo brie
água com gás,sabor catupiry,cebola,pepperoni,azeitona,tomate,azeite de oliva,massa tradicional,mussarela,provolone
refrigerante,cream cheese,cebola,presunto,azeite de oliva,alho,tomate,massa tradicional,mussarela,cheddar
suco de laranja,sabor catupiry,uva passa,cebola,cebola caramelizada,uva passa,pimenta calabresa,massa tradicional,gorgonzola,provolone
suco de maracujá,cheddar,bacon,cebola,tomate,calabresa,alho,massa tradicional,mussarela,parmesão
limonada,sabor catupiry,pepperoni,alho-poró,alho,rúcula,cebola,massa final,mussarela,parmesão
suco de uva,sabor catupiry,atum,cebola,orégano,tomate,NA,massa tradicional,catupiry,mussarela
refrigerante,borda tradicional,milho,azeitona,orégano,cebola,NA,massa tradicional,mussarela,NA
suco de abacaxi,borda tradicional,alcaparra,rúcula,azeitona,abobrinha,espinafre,massa final,queijo coalho,mussarela
refrigerante,sabor catupiry,alcaparra,cebola,orégano,tomate,bacon,massa tradicional,gorgonzola,provolone
chá gelado,borda tradicional,beterraba,NA,NA,NA,NA,massa grossa,NA,NA
limonada,cheddar,pepperoni,orégano,mel,azeite de oliva,pimenta calabresa,massa final,mussarela,cheddar
refrigerante,sabor catupiry,frango,alho,bacon,palmito,orégano,massa tradicional,mussarela,queijo coalho
vinho tinto,borda tradicional,bacon,azeitona,brócolis,pepperoni,azeite de oliva,massa tradicional,mussarela,provolone
água com gás,cheddar,castanhas,mel,carne seca,NA,NA,massa final,cheddar,gorgonzola
NA,sabor catupiry,pepperoni,carne seca,queijo coalho grelhado,camarão,queijo roquefort,massa integral,mussarela,gorgonzola
refrigerante,cream cheese,cebola,pimentão,carne seca,tomate,frango,massa grossa,mussarela,NA
suco de maracujá,borda tradicional,carne seca,orégano,salsinha,cebola,alho,massa grossa,queijo brie,gorgonzola
suco de uva,cream cheese,rúcula,tomate seco,cebola,alho,NA,massa final,mussarela,provolone
suco de abacaxi,cheddar,camarão,cogumelos,tomate,bacon,frango,massa tradicional,mussarela,provolone
refrigerante,cheddar,frango,pepperoni,bacon,carne seca,linguiça calabresa defumada,massa final,mussarela,catupiry
cerveja,borda tradicional,pepperoni,bacon,cebola,azeite de oliva,azeitona,massa tradicional,mussarela,provolone
cerveja,cheddar,frango,orégano,ovo,tomate,alho,massa final,mussarela,provolone
cerveja,borda tradicional,pepperoni,ovo,pimenta calabresa,queijo coalho grelhado,alho,massa integral,provolone,mussarela
suco de laranja,sabor catupiry,bacon,frango,calabresa,cebola,rúcula,massa final,mussarela,cheddar
suco de maracujá,cheddar,bacon,linguiça calabresa defumada,frango,pepperoni,camarão,massa final,mussarela,cheddar
cerveja,borda tradicional,calabresa,azeitona,NA,NA,NA,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,pepperoni,tomate,rúcula,atum,calabresa,massa final,mussarela,catupiry
refrigerante,sabor catupiry,pimentão,pepperoni,NA,NA,NA,massa grossa,gorgonzola,parmesão
limonada,cream cheese,cebola,milho,tomate seco,pepperoni,orégano,massa final,mussarela,parmesão
suco de laranja,borda tradicional,calabresa,ovo,cebola,milho,pimentão,massa tradicional,mussarela,provolone
refrigerante,sabor catupiry,frango,cebola,queijo cheddar,orégano,presunto,massa tradicional,gorgonzola,cheddar
vinho tinto,borda tradicional,azeitona,rúcula,palmito,queijo gouda,alcaparra,massa final,provolone,gorgonzola
refrigerante,sabor catupiry,cebola,cogumelos,brócolis,tomate,pepperoni,massa final,mussarela,queijo brie
suco de laranja,cheddar,frango,tomate,NA,NA,NA,massa tradicional,mussarela,catupiry
refrigerante,borda tradicional,cogumelos,azeitona,ovo,palmito,camarão,massa final,mussarela,ricota
refrigerante,borda tradicional,presunto,cebola,milho,tomate,orégano,massa final,mussarela,parmesão
vinho tinto,cream cheese,lentilha,pêssego,camarão,amêndoas,cereja,massa grossa,mussarela,gorgonzola
limonada,cream cheese,cebola caramelizada,pepperoni,linguiça calabresa defumada,azeitona,milho,massa tradicional,mussarela,provolone
refrigerante,sabor catupiry,pepperoni,frango,cebola,tomate,brócolis,massa grossa,mussarela,catupiry
vinho tinto,borda tradicional,milho,bacon,pepperoni,tomate,calabresa,massa tradicional,mussarela,catupiry
água com gás,borda tradicional,carne seca,abacaxi,pepperoni,bacon,frango,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,palmito,alho-poró,cogumelos,tomate seco,rúcula,massa final,mussarela,catupiry
cerveja,sabor catupiry,carne seca,pepperoni,queijo de cabra,bacon,tomate,massa final,mussarela,gorgonzola
refrigerante,sabor catupiry,frango,bacon,queijo cheddar,presunto,calabresa,massa tradicional,mussarela,mussarela
vinho tinto,borda tradicional,cogumelos,cebola,alho,tomate seco,orégano,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,calabresa,cebola,tomate,orégano,calabresa,massa tradicional,mussarela,NA
suco de maracujá,cream cheese,calabresa,azeite de oliva,orégano,cebola,NA,massa tradicional,gorgonzola,NA
refrigerante,cream cheese,tomate,abobrinha,abacaxi,cebola caramelizada,alho-poró,massa final,mussarela,queijo brie
água com gás,sabor catupiry,tomate,tomate seco,bacon,alho,ovo,massa tradicional,queijo brie,ricota
água com gás,cheddar,pepperoni,palmito,bacon,azeitona,orégano,massa tradicional,mussarela,catupiry
refrigerante,cream cheese,carne seca,presunto,palmito,bacon,tomate seco,massa tradicional,mussarela,catupiry
vinho tinto,borda tradicional,cogumelos,azeitona,abobrinha,queijo de cabra,alcaparra,massa final,gorgonzola,queijo feta
refrigerante,borda tradicional,bacon,pepperoni,pimentão,cebola,tomate,massa final,catupiry,mussarela
refrigerante,sabor catupiry,pepperoni,frango,tomate,cebola,alho-poró,massa tradicional,mussarela,gorgonzola
refrigerante,cream cheese,linguiça calabresa defumada,bacon,azeitona,frango,abacaxi,massa final,queijo feta,queijo brie
refrigerante,cheddar,cogumelos,bacon,rúcula,NA,NA,massa grossa,gorgonzola,parmesão
suco de maracujá,borda tradicional,frango,abobrinha,queijo gouda,NA,NA,massa tradicional,mussarela,gorgonzola
refrigerante,borda tradicional,calabresa,bacon,NA,NA,NA,massa final,mussarela,catupiry
vinho tinto,borda tradicional,bacon,linguiça calabresa defumada,tomate,azeitona,cebola,massa tradicional,mussarela,parmesão
refrigerante,borda tradicional,pepperoni,alho,orégano,berinjela,alho,massa final,gorgonzola,queijo brie
água com gás,cream cheese,alho,bacon,frango,ovo,carne seca,massa tradicional,mussarela,catupiry
refrigerante,sabor catupiry,cebola,frango,ovo,carne seca,linguiça calabresa defumada,massa tradicional,mussarela,parmesão
refrigerante,cream cheese,brócolis,alho,bacon,pimenta calabresa,ovo,massa tradicional,gorgonzola,parmesão
suco de uva,cream cheese,abacaxi,atum,NA,NA,NA,massa final,mussarela,provolone
refrigerante,borda tradicional,presunto,brócolis,bacon,orégano,abacaxi,massa final,mussarela,parmesão
refrigerante,sabor catupiry,tomate,milho,carne moída,calabresa,orégano,massa final,mussarela,parmesão
refrigerante,sabor catupiry,tomate,orégano,calabresa,cebola,NA,massa tradicional,mussarela,mussarela
cerveja,sabor catupiry,tomate,alho,bacon,azeitona,NA,massa final,mussarela,provolone
refrigerante,borda tradicional,brócolis,azeitona,alho-poró,bacon,NA,massa final,mussarela,parmesão
refrigerante,sabor catupiry,calabresa,NA,NA,NA,NA,massa final,mussarela,provolone
cerveja,borda tradicional,pimentão,cebola,linguiça calabresa defumada,pimenta calabresa,tomate,massa tradicional,provolone,gorgonzola
