"","bebida","borda","ingrediente 1","ingrediente 2","ingrediente 3","ingrediente 4","ingrediente 5","massa","queijo 1","queijo 2"
"533","vinho tinto","borda tradicional","azeite de oliva","pepperoni","orégano","pimenta calabresa","azeitona","massa tradicional","mussarela","parmesão"
"534","refrigerante","sabor catupiry","bacon","calabresa","pepperoni","frango","cebola caramelizada","massa tradicional","parmesão","mussarela"
"535","limonada","cream cheese","cebola","alho","bacon","queijo coalho grelhado","linguiça calabresa defumada","massa final","parmesão","queijo coalho"
"536","vinho tinto","borda tradicional","cebola","tomate","palmito","azeitona","queijo roquefort","massa tradicional","gorgonzola","gorgonzola"
"537","refrigerante","cheddar","bacon","frango","tomate","cebola","carne seca","massa final","mussarela","catupiry"
"538","suco de maracujá","sabor catupiry","pepperoni","pimentão","rúcula","bacon","queijo de cabra","massa tradicional","mussarela","provolone"
"539","limonada","cheddar","cereja","berinjela","pepperoni","queijo cheddar","camarão","massa tradicional","mussarela","parmesão"
"540","refrigerante","borda tradicional","tomate","calabresa","cebola","pimenta calabresa","alho","massa tradicional","mussarela","parmesão"
"541","vinho tinto","borda tradicional","pepperoni","cebola","pimentão","brócolis",NA,"massa tradicional","mussarela","gorgonzola"
"542","refrigerante","cheddar","bacon","milho","azeitona","ovo",NA,"massa tradicional","mussarela",NA
"543","refrigerante","sabor catupiry","frango","bacon",NA,NA,NA,"massa tradicional","mussarela","catupiry"
"544","refrigerante","sabor catupiry","calabresa","cebola","milho","brócolis","azeite de oliva","massa grossa","mussarela","parmesão"
"545","suco de maracujá","borda tradicional","cebola","rúcula","tomate seco",NA,NA,"massa final","mussarela","parmesão"
"546","suco de laranja","borda tradicional","tomate","presunto","azeitona","cebola","calabresa","massa tradicional","mussarela","provolone"
"547","suco de uva","borda tradicional","tomate","bacon","calabresa","azeitona",NA,"massa tradicional","mussarela","provolone"
"548","água com gás","borda tradicional","tomate","calabresa","cebola",NA,NA,"massa tradicional","mussarela",NA
"549","suco de maracujá","cream cheese","tomate","pimentão","alho","bacon","carne seca","massa grossa","mussarela","parmesão"
"550","cerveja","sabor catupiry","azeitona","alho","palmito","orégano","pimentão assado","massa tradicional","mussarela","provolone"
"551","refrigerante","borda tradicional","frango","linguiça calabresa defumada","cebola","tomate","azeitona","massa tradicional","mussarela","catupiry"
"552","vinho tinto","sabor catupiry","carne seca","pimentão assado","tomate","tomate seco",NA,"massa tradicional","mussarela","parmesão"
"553","cerveja","sabor catupiry","tomate","bacon","frango","orégano","milho","massa tradicional","mussarela","provolone"
"554","refrigerante","borda tradicional","frango","milho","tomate","orégano",NA,"massa tradicional","mussarela","catupiry"
"555","refrigerante","borda tradicional","alho","cebola",NA,"carne seca",NA,"massa final","mussarela","gorgonzola"
"556","vinho tinto","borda tradicional","cogumelos","alho-poró","queijo feta",NA,NA,"massa tradicional","mussarela","parmesão"
"557","vinho tinto","borda tradicional","tomate","alho","abobrinha","berinjela","azeite de oliva","massa final","mussarela","parmesão"
"558","refrigerante","sabor catupiry","rúcula","queijo gouda","pimenta calabresa","cebola caramelizada","mel","massa tradicional","queijo brie","mussarela"
"559","refrigerante","borda tradicional","calabresa","tomate","cebola","azeitona",NA,"massa tradicional","mussarela",NA
"560","vinho tinto","sabor catupiry","pepperoni",NA,"tomate seco","cogumelos",NA,"massa final","mussarela","parmesão"
"561","refrigerante","sabor catupiry","bacon","alho","cogumelos","tomate","queijo de cabra","massa grossa","gorgonzola","queijo brie"
"562","refrigerante","borda tradicional","tomate seco","cebola caramelizada","pepperoni","orégano","bacon","massa final","gorgonzola","parmesão"
"563","suco de abacaxi","cream cheese","frango","bacon","milho","queijo cheddar","azeitona","massa tradicional","provolone","mussarela"
"564","refrigerante","sabor catupiry","pepperoni","alho-poró","cebolinha","orégano","pepperoni","massa tradicional","mussarela","catupiry"
"565","suco de abacaxi","sabor catupiry","calabresa","tomate","azeitona","palmito","cebola","massa tradicional","mussarela","parmesão"
"566","refrigerante","borda tradicional","cogumelos","tomate","carne seca",NA,NA,"massa tradicional","mussarela",NA
"567","refrigerante","sabor catupiry","calabresa","bacon","cebola",NA,NA,"massa tradicional","mussarela",NA
"568","refrigerante","borda tradicional","alho","milho","presunto","palmito","ervilha","massa tradicional","gorgonzola","mussarela"
"569","cerveja","borda tradicional","pepperoni","alho","alcaparra","cebola","tomate","massa tradicional","mussarela","gorgonzola"
"570","água com gás","borda tradicional","calabresa","tomate seco","azeite de oliva","rúcula","cogumelos","massa tradicional","provolone","gorgonzola"
"571","água com gás","borda tradicional","frango","ovo","azeitona","tomate","milho","massa tradicional",NA,NA
"572","vinho tinto","borda tradicional","calabresa",NA,NA,NA,NA,"massa final","mussarela",NA
"573","suco de abacaxi","sabor catupiry","bacon","presunto","orégano",NA,NA,"massa tradicional","mussarela","catupiry"
"574","refrigerante","sabor catupiry","pepperoni","cogumelos","orégano","cebola","tomate seco","massa tradicional","mussarela","queijo coalho"
"575","refrigerante","sabor catupiry","pepperoni","calabresa","azeitona","camarão","ovo","massa final","mussarela","catupiry"
"576","cerveja","sabor catupiry","azeitona","cogumelos","tomate","azeite de oliva","palmito","massa final","mussarela","parmesão"
"577","vinho tinto","borda tradicional","orégano","bacon","pepperoni",NA,NA,"massa tradicional","provolone","gorgonzola"
"578","suco de maracujá","borda tradicional","tomate","bacon","alho","tomate seco","linguiça calabresa defumada","massa tradicional","catupiry","gorgonzola"
"579","refrigerante","sabor catupiry","pepperoni","tomate seco","linguiça calabresa defumada","pimentão","cebola","massa grossa","mussarela","gorgonzola"
"580","refrigerante","sabor catupiry","presunto","cebola","tomate","milho","calabresa","massa tradicional","mussarela","cheddar"
"581","refrigerante","sabor catupiry","pepperoni","azeitona","alho","calabresa","pimenta calabresa","massa tradicional","mussarela","catupiry"
"582","limonada","borda tradicional","presunto","frango","palmito","abacaxi","presunto","massa grossa","catupiry","catupiry"
"583","refrigerante","sabor catupiry","tomate","abobrinha","pepperoni","orégano","frango","massa tradicional","mussarela","catupiry"
"584","refrigerante","borda tradicional","alcaparra","atum","cebola","tomate","ervilha","massa final","mussarela","provolone"
"585","refrigerante","sabor catupiry","presunto","abobrinha","linguiça","ovo","alho","massa tradicional","mussarela","catupiry"
"586","cerveja","sabor catupiry","bacon","cebola","frango","orégano","tomate","massa tradicional","mussarela","parmesão"
"587","refrigerante","sabor catupiry","calabresa","orégano","azeitona","bacon","tomate","massa tradicional","mussarela","ricota"
"588","vinho tinto","borda tradicional","mel","cogumelos","cebola",NA,NA,"massa tradicional","mussarela","gorgonzola"
"589","refrigerante","cream cheese","frango","milho","bacon","presunto","calabresa","massa tradicional","mussarela","parmesão"
"590","vinho tinto","borda tradicional","carne seca","cebola","azeite de oliva","pimenta calabresa","tomate seco","massa tradicional","mussarela","gorgonzola"
"591","refrigerante","borda tradicional","pepperoni","azeitona","pimentão","cebola","tomate","massa tradicional","mussarela","parmesão"
"592","refrigerante","sabor catupiry","tomate","azeitona","frango","milho","pepperoni","massa final","mussarela","provolone"
"593","chá gelado","cream cheese","cebola caramelizada","tomate seco","azeitona","rúcula","alho","massa grossa","ricota","queijo coalho"
"594","água com gás","sabor catupiry","tomate","frango","milho","bacon","orégano","massa tradicional","mussarela","catupiry"
"595","refrigerante","sabor catupiry","tomate","cebola","bacon","pepperoni","orégano","massa grossa","mussarela",NA
"596","refrigerante","sabor catupiry","pepperoni",NA,NA,NA,NA,"massa tradicional","provolone","mussarela"
"597","chá gelado","cream cheese","tomate","bacon","orégano","alho-poró","abobrinha","massa tradicional","mussarela",NA
"598","cerveja","borda tradicional","cogumelos","pepperoni","cebola","rúcula","salsinha","massa tradicional","parmesão","mussarela"
"599","refrigerante","borda tradicional","azeite de oliva","frango","palmito","bacon","alho","massa tradicional","mussarela",NA
"600","cerveja","cheddar","cebola","azeitona","atum","picles","ovo","massa tradicional","mussarela","gorgonzola"
"601","suco de abacaxi","borda tradicional","cebola","calabresa","tomate","orégano","salsinha","massa final","mussarela",NA
"602","água com gás","sabor catupiry","tomate","pepperoni","bacon","queijo gouda","pimentão","massa tradicional","mussarela","provolone"
"603","água com gás","borda tradicional","abobrinha","alho",NA,NA,NA,"massa final","mussarela","parmesão"
"604","vinho tinto","borda tradicional","presunto","cogumelos","tomate","pimentão","alho-poró","massa tradicional","mussarela","catupiry"
"605","suco de laranja","borda tradicional","cogumelos","bacon","calabresa","palmito","presunto","massa final","mussarela","catupiry"
"606","refrigerante","borda tradicional","tomate seco","alho","espinafre",NA,"pepperoni","massa grossa","mussarela","parmesão"
"607","refrigerante","cheddar","pepperoni","calabresa","bacon","frango","alho","massa grossa","mussarela","catupiry"
"608","refrigerante","sabor catupiry","tomate","calabresa","orégano","alho-poró","azeite de oliva","massa tradicional","mussarela","catupiry"
"609","água com gás","sabor catupiry","frango","milho","tomate","queijo cheddar","orégano","massa tradicional","catupiry","gorgonzola"
"610","suco de uva","sabor catupiry","tomate","milho","azeite de oliva","orégano","pimentão assado","massa grossa","parmesão","provolone"
"611","água com gás","borda tradicional","linguiça calabresa defumada","cebola caramelizada","pimenta biquinho","castanhas",NA,"massa final","mussarela","parmesão"
"612","água com gás","borda tradicional","cogumelos","azeite de oliva","pepperoni","anchova","azeitona","massa final","mussarela","gorgonzola"
"613","refrigerante","sabor catupiry","calabresa","cebola","azeitona","bacon","alho-poró","massa grossa","mussarela","provolone"
"614","limonada","sabor catupiry","atum","cebola","tomate seco","azeitona",NA,"massa tradicional","mussarela",NA
"615",NA,"sabor catupiry","presunto","tomate","azeitona","ovo","calabresa","massa grossa","mussarela",NA
"616","suco de laranja","borda tradicional","cebola","azeitona","pimenta calabresa","bacon","linguiça","massa final","mussarela","parmesão"
"617","água com gás","borda tradicional","cebola","alho","bacon","queijo gouda","picles","massa grossa","mussarela","parmesão"
"618","água com gás","sabor catupiry","pepperoni","bacon",NA,NA,NA,"massa final","mussarela","catupiry"
"619","refrigerante","borda tradicional","pepperoni","frango","tomate","azeitona","azeite de oliva","massa final","mussarela","catupiry"
"620","suco de maracujá","sabor catupiry","calabresa","frango","bacon","tomate","milho","massa tradicional","mussarela","parmesão"
"621","refrigerante","sabor catupiry","presunto","milho","cebola caramelizada","orégano","picles","massa tradicional","parmesão","mussarela"
"622","refrigerante","borda tradicional","pepperoni","azeite de oliva","alcaparra","palmito","pepperoni","massa final","provolone","parmesão"
"623","suco de uva","borda tradicional","frango","bacon","brócolis","mel","linguiça calabresa defumada","massa final","queijo coalho","mussarela"
"624","cerveja","borda tradicional","pepperoni","cogumelos","tomate",NA,NA,"massa tradicional","catupiry","mussarela"
"625","suco de laranja","sabor catupiry","frango","calabresa","carne seca","orégano",NA,"massa tradicional","cheddar","catupiry"
"626","chá gelado","borda tradicional","tomate","cogumelos","rúcula","azeite de oliva",NA,"massa final","mussarela","parmesão"
"627","vinho tinto","cream cheese","pepperoni","azeitona","alho","orégano",NA,"massa final","parmesão","mussarela"
"628","refrigerante","sabor catupiry","tomate","calabresa","cebola","ovo","azeitona","massa tradicional","catupiry","mussarela"
"629","refrigerante","sabor catupiry","cebola","bacon","linguiça calabresa defumada","frango","cogumelos","massa tradicional","mussarela","catupiry"
"630","água com gás","borda tradicional","pepperoni","calabresa","tomate","cebola","azeite de oliva","massa final","mussarela","parmesão"
"631","refrigerante","borda tradicional","pepperoni","tomate",NA,"azeitona",NA,"massa final","mussarela","provolone"
"632","chá gelado","cheddar","pepperoni","carne seca","azeitona","calabresa","tomate","massa tradicional","mussarela","catupiry"
"633","cerveja","borda tradicional","calabresa","bacon","carne seca","alcaparra","linguiça","massa tradicional","mussarela","provolone"
"634","suco de maracujá","borda tradicional","anchova","alcaparra","tomate seco","salsinha","palmito","massa tradicional","gorgonzola","mussarela"
"635","suco de uva","sabor catupiry","tomate","bacon","orégano",NA,NA,"massa tradicional","mussarela","parmesão"
"636",NA,"borda tradicional","pimentão","tomate","pepperoni","tomate",NA,"massa tradicional","catupiry","queijo coalho"
"637","refrigerante","borda tradicional","cebola","tomate","calabresa","alho-poró","cebola caramelizada","massa tradicional","mussarela","mussarela"
"638","cerveja","cream cheese","bacon","calabresa","carne seca","frango","camarão","massa final","cheddar","mussarela"
"639","vinho tinto","borda tradicional","milho","bacon","azeite de oliva",NA,NA,"massa final","mussarela","queijo coalho"
"640",NA,"cream cheese","abacaxi","tomate seco","cebola caramelizada","carne seca",NA,"massa tradicional","queijo brie","gorgonzola"
"641","suco de abacaxi","cheddar","alcaparra","cogumelos","tomate","alho","azeitona","massa grossa","queijo coalho","queijo brie"
"642","cerveja","cream cheese","tomate","azeitona","bacon","linguiça calabresa defumada","azeite de oliva","massa final","mussarela","catupiry"
"643","limonada","sabor catupiry","tomate seco","uva passa","cebola caramelizada","carne seca","alho-poró","massa tradicional","mussarela",NA
"644","cerveja","borda tradicional","cebola","pepperoni","alho","rúcula","azeitona","massa tradicional","gorgonzola","provolone"
"645","suco de laranja","borda tradicional","anchova","alcaparra","cebola","presunto","azeite de oliva","massa grossa","parmesão","cheddar"
"646","suco de laranja","borda tradicional","queijo coalho grelhado","carne seca",NA,NA,NA,"massa grossa","cheddar","queijo coalho"
"647","suco de laranja","sabor catupiry","presunto","frango","brócolis","bacon","azeitona","massa tradicional","mussarela","catupiry"
"648","água com gás","borda tradicional","carne seca","tomate","pepperoni","azeitona","rúcula","massa final","mussarela","gorgonzola"
"649","refrigerante","sabor catupiry","tomate","berinjela","rúcula","frango","azeitona","massa final","provolone","gorgonzola"
"650","refrigerante","borda tradicional","pepperoni",NA,NA,NA,NA,"massa tradicional","mussarela","parmesão"
"651","água com gás","cheddar","alho","mel","cebola caramelizada","pepperoni","uva passa","massa tradicional","gorgonzola","catupiry"
"652","refrigerante","sabor catupiry","alho","azeitona",NA,NA,NA,"massa tradicional","mussarela","catupiry"
"653","suco de uva","sabor catupiry","tomate","presunto","ovo",NA,NA,"massa tradicional","mussarela","queijo brie"
"654","refrigerante","cheddar","presunto","azeitona","ovo","tomate","azeite de oliva","massa tradicional","mussarela","provolone"
"655","cerveja","sabor catupiry","abobrinha","berinjela","alcaparra","berinjela","brócolis","massa grossa","ricota","ricota"
"656","refrigerante","borda tradicional","linguiça calabresa defumada","cebola","tomate",NA,NA,"massa tradicional","mussarela","parmesão"
"657","vinho tinto","borda tradicional","cogumelos","rúcula","tomate seco","camarão","pepperoni","massa final","parmesão","gorgonzola"
"658","refrigerante","sabor catupiry","carne seca","bacon","tomate","cebola","azeitona","massa tradicional","mussarela","parmesão"
"659","limonada","cheddar","linguiça calabresa defumada","brócolis","alho","cebola","bacon","massa final","cheddar","mussarela"
"660","vinho tinto","borda tradicional","tomate","presunto","cogumelos","alho","calabresa","massa final","mussarela","parmesão"
"661","cerveja","borda tradicional","tomate","pepperoni","alho",NA,NA,"massa tradicional","mussarela","parmesão"
"662","refrigerante","cream cheese","pepperoni","brócolis","azeitona","frango","bacon","massa tradicional","mussarela","gorgonzola"
"663","água com gás","sabor catupiry","cogumelos","cebola","palmito","calabresa","ovo","massa final","mussarela","queijo brie"
"664","água com gás","sabor catupiry","pepperoni","bacon","frango","ovo","carne seca","massa tradicional","parmesão","provolone"
"665","refrigerante","cream cheese","pepperoni","bacon","pimenta calabresa",NA,NA,"massa final","gorgonzola","parmesão"
"666","refrigerante","borda tradicional","cebola","frango","milho","pimenta calabresa","tomate seco","massa final","mussarela","catupiry"
"667","suco de maracujá","sabor catupiry","frango","pepperoni","tomate","alho","palmito","massa tradicional","catupiry","provolone"
"668","cerveja","cheddar","presunto","calabresa","cebola","bacon","orégano","massa tradicional","mussarela","provolone"
"669","refrigerante","cheddar","bacon","queijo cheddar","ovo","azeite de oliva","frango","massa tradicional","mussarela","cheddar"
"670","refrigerante","sabor catupiry","presunto","milho","frango","calabresa","bacon","massa tradicional","mussarela","catupiry"
"671","limonada","borda tradicional","tomate","azeitona","brócolis","cogumelos","pimentão","massa tradicional","mussarela","provolone"
"672","cerveja","sabor catupiry","tomate","queijo de cabra","pimenta calabresa","azeite de oliva","azeitona","massa tradicional","parmesão","provolone"
"673","refrigerante","cream cheese","pepperoni","cebola","alho","bacon","azeitona","massa grossa","provolone","parmesão"
"674","água com gás","sabor catupiry","tomate","frango","bacon","salsinha","azeitona","massa tradicional","catupiry","mussarela"
"675","água com gás","borda tradicional","nozes","brócolis","alho",NA,NA,"massa integral","gorgonzola","provolone"
"676","refrigerante","borda tradicional","tomate","pepperoni","calabresa","milho","palmito","massa tradicional","mussarela","provolone"
"677",NA,"borda tradicional","nozes","mel","cebola caramelizada","castanhas","uva passa","massa tradicional","mussarela","gorgonzola"
"678","vinho tinto","sabor catupiry","linguiça calabresa defumada","bacon","frango","azeitona","presunto","massa tradicional","cheddar","catupiry"
"679","limonada","sabor catupiry","azeite de oliva","pepperoni","cebola","presunto","berinjela","massa final","provolone","mussarela"
"680","chá gelado","sabor catupiry","palmito","presunto","cogumelos","brócolis","alho","massa grossa","mussarela","parmesão"
"681","refrigerante","borda tradicional","frango","queijo coalho grelhado",NA,NA,NA,"massa final","mussarela","parmesão"
"682","cerveja","cream cheese","calabresa","cebola","orégano","azeitona","azeite de oliva","massa final","mussarela","queijo brie"
"683","suco de laranja","borda tradicional","abobrinha","tomate","pimentão","cebola","cogumelos","massa final","mussarela","queijo coalho"
"684","refrigerante","borda tradicional","frango","azeitona","tomate","azeite de oliva","queijo cheddar","massa tradicional","mussarela","catupiry"
"685","vinho tinto","borda tradicional","cogumelos","calabresa","palmito","cebola","tomate seco","massa tradicional","mussarela","gorgonzola"
"686","refrigerante","sabor catupiry","frango","bacon","cebola","milho","alho","massa tradicional","mussarela","cheddar"
"687","cerveja","sabor catupiry","pepperoni","tomate","azeitona","cebola","palmito","massa final","mussarela","queijo coalho"
"688","limonada","borda tradicional","presunto","ovo","orégano",NA,NA,"massa final","mussarela",NA
"689","refrigerante","cream cheese","tomate","queijo coalho grelhado","pepperoni","orégano","azeite de oliva","massa final","mussarela","parmesão"
"690","refrigerante","sabor catupiry","presunto","palmito","pepperoni","cebola","calabresa","massa tradicional","mussarela","parmesão"
"691","água com gás","cream cheese","bacon","milho","tomate","azeite de oliva","tomate seco","massa final","mussarela","gorgonzola"
"692","suco de abacaxi","sabor catupiry","pepperoni","tomate","azeitona","orégano",NA,"massa tradicional","mussarela","parmesão"
"693","refrigerante","sabor catupiry","pepperoni","calabresa","bacon",NA,NA,"massa tradicional","mussarela","gorgonzola"
"694","refrigerante","borda tradicional","cebola","alho","bacon","azeite de oliva","cogumelos","massa tradicional","mussarela","gorgonzola"
"695","suco de abacaxi","sabor catupiry","palmito","bacon","carne seca","cebola","salsinha","massa tradicional","parmesão","queijo coalho"
"696",NA,"borda tradicional","azeite de oliva","cebola caramelizada","cogumelos","alho","queijo gouda","massa final","gorgonzola","queijo brie"
"697","cerveja","borda tradicional","bacon","brócolis","palmito",NA,NA,"massa tradicional","mussarela","parmesão"
"698","cerveja","cheddar","pepperoni","azeite de oliva","orégano","queijo gouda",NA,"massa tradicional","mussarela","provolone"
"699","vinho tinto","sabor catupiry","cebola","tomate","calabresa","linguiça calabresa defumada","pepperoni","massa grossa","mussarela","gorgonzola"
"700","suco de maracujá","borda tradicional","frango","bacon","brócolis",NA,NA,"massa final","mussarela","parmesão"
"701","refrigerante","sabor catupiry","atum","cebola","tomate","azeitona",NA,"massa tradicional","mussarela",NA
"702","suco de maracujá","sabor catupiry","presunto","abacaxi","pimentão","cogumelos","calabresa","massa tradicional","mussarela","cheddar"
"703","suco de maracujá","cream cheese","cebola","frango","carne seca","bacon","calabresa","massa tradicional","catupiry","mussarela"
"704","refrigerante","sabor catupiry","pepperoni","rúcula","picles","azeite de oliva","bacon","massa tradicional","mussarela","parmesão"
"705","refrigerante","cream cheese","pepperoni","bacon","presunto","cebola","pimenta calabresa","massa tradicional","mussarela","queijo brie"
"706","cerveja","cream cheese","alcaparra","rúcula","cebola","cogumelos","bacon","massa integral","queijo brie","queijo feta"
"707","limonada","sabor catupiry","carne seca","linguiça calabresa defumada","cebola","azeitona","pimentão assado","massa tradicional","parmesão","queijo coalho"
"708","refrigerante","sabor catupiry","cebola","calabresa","bacon",NA,NA,"massa tradicional","mussarela",NA
"709","suco de laranja","cream cheese","frango","pepperoni","queijo cheddar","queijo coalho grelhado","calabresa","massa grossa","mussarela","cheddar"
"710","refrigerante","borda tradicional","anchova em conserva","alcaparra","carne seca","alho","picles","massa tradicional","mussarela",NA
"711","chá gelado","borda tradicional","cogumelos","alho","alho-poró","queijo coalho grelhado","tomate seco","massa final","mussarela","catupiry"
"712","chá gelado","sabor catupiry","alho","brócolis","calabresa","alho-poró","cogumelos","massa tradicional","provolone","queijo brie"
"713","refrigerante","sabor catupiry","frango","bacon","milho","presunto",NA,"massa final","mussarela","queijo brie"
"714","água com gás","sabor catupiry","cebola","pepperoni","azeitona","tomate","azeite de oliva","massa tradicional","mussarela","provolone"
"715","refrigerante","cream cheese","cebola","presunto","azeite de oliva","alho","tomate","massa tradicional","mussarela","cheddar"
"716","suco de laranja","sabor catupiry","uva passa","cebola","cebola caramelizada","uva passa","pimenta calabresa","massa tradicional","gorgonzola","provolone"
"717","suco de maracujá","cheddar","bacon","cebola","tomate","calabresa","alho","massa tradicional","mussarela","parmesão"
"718","limonada","sabor catupiry","pepperoni","alho-poró","alho","rúcula","cebola","massa final","mussarela","parmesão"
"719","suco de uva","sabor catupiry","atum","cebola","orégano","tomate",NA,"massa tradicional","catupiry","mussarela"
"720","refrigerante","borda tradicional","milho","azeitona","orégano","cebola",NA,"massa tradicional","mussarela",NA
"721","suco de abacaxi","borda tradicional","alcaparra","rúcula","azeitona","abobrinha","espinafre","massa final","queijo coalho","mussarela"
"722","refrigerante","sabor catupiry","alcaparra","cebola","orégano","tomate","bacon","massa tradicional","gorgonzola","provolone"
"723","chá gelado","borda tradicional","beterraba",NA,NA,NA,NA,"massa grossa",NA,NA
"724","limonada","cheddar","pepperoni","orégano","mel","azeite de oliva","pimenta calabresa","massa final","mussarela","cheddar"
"725","refrigerante","sabor catupiry","frango","alho","bacon","palmito","orégano","massa tradicional","mussarela","queijo coalho"
"726","vinho tinto","borda tradicional","bacon","azeitona","brócolis","pepperoni","azeite de oliva","massa tradicional","mussarela","provolone"
"727","água com gás","cheddar","castanhas","mel","carne seca",NA,NA,"massa final","cheddar","gorgonzola"
"728",NA,"sabor catupiry","pepperoni","carne seca","queijo coalho grelhado","camarão","queijo roquefort","massa integral","mussarela","gorgonzola"
"729","refrigerante","cream cheese","cebola","pimentão","carne seca","tomate","frango","massa grossa","mussarela",NA
"730","suco de maracujá","borda tradicional","carne seca","orégano","salsinha","cebola","alho","massa grossa","queijo brie","gorgonzola"
"731","suco de uva","cream cheese","rúcula","tomate seco","cebola","alho",NA,"massa final","mussarela","provolone"
"732","suco de abacaxi","cheddar","camarão","cogumelos","tomate","bacon","frango","massa tradicional","mussarela","provolone"
"733","refrigerante","cheddar","frango","pepperoni","bacon","carne seca","linguiça calabresa defumada","massa final","mussarela","catupiry"
"734","cerveja","borda tradicional","pepperoni","bacon","cebola","azeite de oliva","azeitona","massa tradicional","mussarela","provolone"
"735","cerveja","cheddar","frango","orégano","ovo","tomate","alho","massa final","mussarela","provolone"
"736","cerveja","borda tradicional","pepperoni","ovo","pimenta calabresa","queijo coalho grelhado","alho","massa integral","provolone","mussarela"
"737","suco de laranja","sabor catupiry","bacon","frango","calabresa","cebola","rúcula","massa final","mussarela","cheddar"
"738","suco de maracujá","cheddar","bacon","linguiça calabresa defumada","frango","pepperoni","camarão","massa final","mussarela","cheddar"
"739","cerveja","borda tradicional","calabresa","azeitona",NA,NA,NA,"massa tradicional","mussarela","catupiry"
"740","refrigerante","borda tradicional","pepperoni","tomate","rúcula","atum","calabresa","massa final","mussarela","catupiry"
"741","refrigerante","sabor catupiry","pimentão","pepperoni",NA,NA,NA,"massa grossa","gorgonzola","parmesão"
"742","limonada","cream cheese","cebola","milho","tomate seco","pepperoni","orégano","massa final","mussarela","parmesão"
"743","suco de laranja","borda tradicional","calabresa","ovo","cebola","milho","pimentão","massa tradicional","mussarela","provolone"
"744","refrigerante","sabor catupiry","frango","cebola","queijo cheddar","orégano","presunto","massa tradicional","gorgonzola","cheddar"
"745","vinho tinto","borda tradicional","azeitona","rúcula","palmito","queijo gouda","alcaparra","massa final","provolone","gorgonzola"
"746","refrigerante","sabor catupiry","cebola","cogumelos","brócolis","tomate","pepperoni","massa final","mussarela","queijo brie"
"747","suco de laranja","cheddar","frango","tomate",NA,NA,NA,"massa tradicional","mussarela","catupiry"
"748","refrigerante","borda tradicional","cogumelos","azeitona","ovo","palmito","camarão","massa final","mussarela","ricota"
"749","refrigerante","borda tradicional","presunto","cebola","milho","tomate","orégano","massa final","mussarela","parmesão"
"750","vinho tinto","cream cheese","lentilha","pêssego","camarão","amêndoas","cereja","massa grossa","mussarela","gorgonzola"
"751","limonada","cream cheese","cebola caramelizada","pepperoni","linguiça calabresa defumada","azeitona","milho","massa tradicional","mussarela","provolone"
"752","refrigerante","sabor catupiry","pepperoni","frango","cebola","tomate","brócolis","massa grossa","mussarela","catupiry"
"753","vinho tinto","borda tradicional","milho","bacon","pepperoni","tomate","calabresa","massa tradicional","mussarela","catupiry"
"754","água com gás","borda tradicional","carne seca","abacaxi","pepperoni","bacon","frango","massa tradicional","mussarela","parmesão"
"755","refrigerante","borda tradicional","palmito","alho-poró","cogumelos","tomate seco","rúcula","massa final","mussarela","catupiry"
"756","cerveja","sabor catupiry","carne seca","pepperoni","queijo de cabra","bacon","tomate","massa final","mussarela","gorgonzola"
"757","refrigerante","sabor catupiry","frango","bacon","queijo cheddar","presunto","calabresa","massa tradicional","mussarela","mussarela"
"758","vinho tinto","borda tradicional","cogumelos","cebola","alho","tomate seco","orégano","massa tradicional","mussarela","parmesão"
"759","refrigerante","borda tradicional","calabresa","cebola","tomate","orégano","calabresa","massa tradicional","mussarela",NA
"760","suco de maracujá","cream cheese","calabresa","azeite de oliva","orégano","cebola",NA,"massa tradicional","gorgonzola",NA
"761","refrigerante","cream cheese","tomate","abobrinha","abacaxi","cebola caramelizada","alho-poró","massa final","mussarela","queijo brie"
"762","água com gás","sabor catupiry","tomate","tomate seco","bacon","alho","ovo","massa tradicional","queijo brie","ricota"
"763","água com gás","cheddar","pepperoni","palmito","bacon","azeitona","orégano","massa tradicional","mussarela","catupiry"
"764","refrigerante","cream cheese","carne seca","presunto","palmito","bacon","tomate seco","massa tradicional","mussarela","catupiry"
"765","vinho tinto","borda tradicional","cogumelos","azeitona","abobrinha","queijo de cabra","alcaparra","massa final","gorgonzola","queijo feta"
"766","refrigerante","borda tradicional","bacon","pepperoni","pimentão","cebola","tomate","massa final","catupiry","mussarela"
"767","refrigerante","sabor catupiry","pepperoni","frango","tomate","cebola","alho-poró","massa tradicional","mussarela","gorgonzola"
"768","refrigerante","cream cheese","linguiça calabresa defumada","bacon","azeitona","frango","abacaxi","massa final","queijo feta","queijo brie"
"769","refrigerante","cheddar","cogumelos","bacon","rúcula",NA,NA,"massa grossa","gorgonzola","parmesão"
"770","suco de maracujá","borda tradicional","frango","abobrinha","queijo gouda",NA,NA,"massa tradicional","mussarela","gorgonzola"
"771","refrigerante","borda tradicional","calabresa","bacon",NA,NA,NA,"massa final","mussarela","catupiry"
"772","vinho tinto","borda tradicional","bacon","linguiça calabresa defumada","tomate","azeitona","cebola","massa tradicional","mussarela","parmesão"
"773","refrigerante","borda tradicional","pepperoni","alho","orégano","berinjela","alho","massa final","gorgonzola","queijo brie"
"774","água com gás","cream cheese","alho","bacon","frango","ovo","carne seca","massa tradicional","mussarela","catupiry"
"775","refrigerante","sabor catupiry","cebola","frango","ovo","carne seca","linguiça calabresa defumada","massa tradicional","mussarela","parmesão"
