"","bebida","borda","ingrediente 1","ingrediente 2","ingrediente 3","ingrediente 4","ingrediente 5","massa","queijo 1","queijo 2"
"1036","refrigerante","cream cheese","bacon","rúcula","tomate","palmito","queijo roquefort","massa tradicional","provolone","gorgonzola"
"1037","cerveja","sabor catupiry","presunto","pepperoni","tomate","camarão","castanhas","massa tradicional","gorgonzola","provolone"
"1038","limonada","sabor catupiry","presunto","azeitona","tomate","cebola","milho","massa final","mussarela","cheddar"
"1039","água com gás","borda tradicional","cebola","azeitona","bacon","calabresa","palmito","massa final","cheddar",NA
"1040","refrigerante","borda tradicional","tomate","bacon","azeite de oliva","azeite de oliva","ovo","massa tradicional","cheddar",NA
"1041","refrigerante","borda tradicional","cebola","bacon","linguiça calabresa defumada","orégano","azeitona","massa tradicional","mussarela","catupiry"
"1042","vinho tinto","sabor catupiry","azeitona","cogumelos","tomate",NA,"queijo cheddar","massa tradicional","mussarela","provolone"
"1043","chá gelado","cream cheese","abobrinha","berinjela","linguiça","grão de bico","atum","massa tradicional","gorgonzola","provolone"
"1044","suco de laranja","cream cheese","bacon","bacon","frango","cebola","ovo","massa grossa","gorgonzola","ricota"
"1045","suco de abacaxi","sabor catupiry","cebola","milho","atum","carne seca","presunto","massa final","ricota","parmesão"
"1046","limonada","cheddar","rúcula","cogumelos","tomate","alho","queijo cheddar","massa tradicional","provolone","parmesão"
"1047","refrigerante","borda tradicional","palmito",NA,NA,NA,NA,"massa tradicional","mussarela","catupiry"
"1048","limonada","borda tradicional","pepperoni","tomate","azeite de oliva",NA,NA,"massa tradicional","mussarela","parmesão"
"1049","suco de maracujá","sabor catupiry","queijo gouda","frango","bacon","tomate","palmito","massa tradicional","mussarela","queijo feta"
"1050","refrigerante","sabor catupiry","tomate","bacon","linguiça calabresa defumada","alho","tomate seco","massa grossa","mussarela","gorgonzola"
"1051","limonada","borda tradicional","tomate","anchova",NA,NA,NA,"massa tradicional","mussarela",NA
"1052","suco de laranja","borda tradicional","cogumelos","azeitona","brócolis","alho-poró","carne seca","massa grossa","mussarela","queijo coalho"
"1053","cerveja","borda tradicional","pepperoni","cebola","rúcula","azeite de oliva","bacon","massa final","mussarela","cheddar"
"1054","suco de maracujá","cheddar","frango","bacon","orégano","milho",NA,"massa tradicional","mussarela","catupiry"
"1055","água com gás","borda tradicional","pepperoni","cogumelos","cebola","tomate","abacaxi","massa tradicional","parmesão",NA
"1056","refrigerante","borda tradicional","pepperoni","cebola","azeite de oliva","orégano","rúcula","massa tradicional","parmesão","mussarela"
"1057","água com gás","cheddar","cebola","pimentão","linguiça calabresa defumada","frango","milho","massa tradicional","cheddar","provolone"
"1058","refrigerante","cheddar","tomate","alho","pimentão","cebola","palmito","massa tradicional","catupiry","queijo brie"
"1059","suco de laranja","cream cheese","alho","presunto","bacon","tomate","cebola","massa final","mussarela","parmesão"
"1060","refrigerante","sabor catupiry","brócolis","tomate","tomate seco","bacon","rúcula","massa grossa","gorgonzola","mussarela"
"1061","refrigerante","sabor catupiry","tomate","calabresa",NA,NA,NA,"massa tradicional","mussarela","queijo coalho"
"1062","cerveja","cream cheese","alho","azeitona","azeite de oliva","pepperoni","orégano","massa final","mussarela","gorgonzola"
"1063","refrigerante","borda tradicional","palmito","pepperoni","bacon","calabresa","picles","massa tradicional","parmesão","gorgonzola"
"1064","suco de laranja","sabor catupiry","calabresa","milho","bacon","frango","azeitona","massa grossa","mussarela","gorgonzola"
"1065","suco de laranja","cheddar","alho","pepperoni","azeitona","cebola","milho","massa tradicional","mussarela","cheddar"
"1066","vinho tinto","borda tradicional","tomate","cogumelos","cebola","pepperoni","azeite de oliva","massa tradicional","mussarela","parmesão"
"1067","cerveja","borda tradicional","cebola","alho","bacon","azeitona","brócolis","massa tradicional","mussarela","parmesão"
"1068","vinho tinto","cream cheese","cebola","tomate","carne seca","pimenta biquinho","orégano","massa final","mussarela","gorgonzola"
"1069","vinho tinto","sabor catupiry","queijo gouda","carne seca",NA,"azeite de oliva",NA,"massa final","queijo brie","catupiry"
"1070","refrigerante","sabor catupiry","calabresa","cebola","queijo gouda","cebola caramelizada","salsinha","massa tradicional","mussarela","provolone"
"1071","cerveja","borda tradicional","cogumelos","azeite de oliva","tomate seco","brócolis","alho-poró","massa tradicional","mussarela","parmesão"
"1072","suco de abacaxi","cream cheese","tomate","azeite de oliva","cogumelos","cogumelos","pimentão","massa tradicional","queijo brie","parmesão"
"1073","refrigerante","cream cheese","frango","bacon","calabresa",NA,NA,"massa grossa","mussarela","catupiry"
"1074","refrigerante","borda tradicional","tomate","cebola","presunto","azeitona","ovo","massa final","mussarela","parmesão"
"1075","refrigerante","sabor catupiry","tomate","presunto","cebola","azeite de oliva","alho","massa final","gorgonzola","mussarela"
"1076","limonada","sabor catupiry","brócolis","tomate","milho","queijo coalho grelhado","azeitona","massa grossa","provolone","mussarela"
"1077","suco de maracujá","borda tradicional","pepperoni","azeite de oliva","tomate","ovo","cebola","massa final","mussarela","catupiry"
"1078","suco de maracujá","borda tradicional","azeitona","orégano","tomate","azeite de oliva",NA,"massa tradicional","mussarela",NA
"1079","suco de laranja","sabor catupiry","azeitona","calabresa","carne seca",NA,NA,"massa tradicional","mussarela","mussarela"
"1080","refrigerante","sabor catupiry","pepperoni","azeitona","presunto","orégano","pimenta calabresa","massa tradicional","mussarela","parmesão"
"1081","refrigerante","borda tradicional","linguiça calabresa defumada","carne seca","pimenta calabresa",NA,NA,"massa grossa","mussarela",NA
"1082","vinho tinto","cheddar","orégano","bacon","linguiça calabresa defumada","azeitona","presunto","massa final","mussarela","parmesão"
"1083","refrigerante","sabor catupiry","calabresa","frango","carne seca","azeitona","tomate","massa tradicional","mussarela","catupiry"
"1084","refrigerante","cheddar","azeitona","bacon","orégano","ovo","cebola","massa tradicional","mussarela","cheddar"
"1085","refrigerante","borda tradicional","cebola","presunto","tomate","milho","ovo","massa final","mussarela",NA
"1086","chá gelado","sabor catupiry","pepperoni","cebola","calabresa","uva passa","azeite de oliva","massa final","mussarela","catupiry"
"1087","água com gás","sabor catupiry","palmito","cebola","tomate","alho-poró","picles","massa final","mussarela","catupiry"
"1088","cerveja","borda tradicional","tomate","alho","cebola","rúcula","bacon","massa tradicional","gorgonzola","queijo brie"
"1089","vinho tinto","borda tradicional","tomate","frango","orégano","queijo gouda","cebola caramelizada","massa final","parmesão","queijo brie"
"1090","cerveja","sabor catupiry","pepperoni","calabresa","cogumelos","tomate","ovo","massa final","provolone","mussarela"
"1091","cerveja","borda tradicional","calabresa","cogumelos","anchova","tomate","abobrinha","massa final","mussarela","gorgonzola"
"1092","suco de maracujá","sabor catupiry","bacon","milho","palmito",NA,NA,"massa grossa","parmesão","provolone"
"1093","cerveja","borda tradicional","calabresa","azeitona","tomate seco","azeite de oliva","orégano","massa tradicional","provolone","ricota"
"1094","refrigerante","cheddar","cogumelos","alho","presunto","brócolis","carne seca","massa tradicional","gorgonzola","mussarela"
"1095","cerveja","borda tradicional","cogumelos","tomate","azeitona","azeite de oliva","cebolinha","massa final","gorgonzola","mussarela"
"1096","vinho tinto","cream cheese","tomate","azeitona","carne seca","queijo de cabra","cogumelos","massa tradicional","gorgonzola","provolone"
"1097","suco de laranja","sabor catupiry","bacon","frango","camarão","pimenta calabresa","cebolinha","massa tradicional","mussarela","parmesão"
"1098","chá gelado","sabor catupiry","pepperoni","bacon","azeitona","calabresa","milho","massa tradicional","mussarela","catupiry"
"1099","refrigerante","borda tradicional","tomate","alho","cogumelos","palmito","espinafre","massa final","mussarela","gorgonzola"
"1100","refrigerante","cheddar","tomate","presunto","queijo cheddar","rúcula","cebola","massa tradicional","mussarela","cheddar"
"1101","refrigerante","borda tradicional","calabresa","azeitona","ovo",NA,NA,"massa grossa","mussarela","parmesão"
"1102","vinho tinto","borda tradicional","tomate","cebola","cogumelos","alho","azeite de oliva","massa tradicional","gorgonzola","queijo brie"
"1103","cerveja","sabor catupiry","pepperoni","bacon","calabresa","atum","tomate seco","massa tradicional","mussarela","gorgonzola"
"1104","limonada","borda tradicional","azeitona","tomate","azeite de oliva","orégano","bacon","massa final","mussarela","queijo brie"
"1105","suco de maracujá","sabor catupiry","pepperoni","alho","bacon","orégano","queijo gouda","massa tradicional","mussarela","provolone"
"1106","suco de abacaxi","borda tradicional","alho","tomate","azeitona","orégano","carne seca","massa tradicional","mussarela","parmesão"
